real;2Y0A21 F42;2Y0A21 F08
23;22.49;21.31
23;22.5;21.31
23;22.51;21.31
23;22.5;21.3
23;22.48;21.31
23;22.47;21.3
23;22.46;21.3
23;22.48;21.31
23;22.49;21.31
23;22.48;21.3
23;22.48;21.3
23;22.47;21.31
23;22.47;21.3
23;22.49;21.3
23;22.47;21.3
23;22.47;21.32
23;22.47;21.3
23;22.5;21.31
23;22.48;21.3
23;22.48;21.3
23;22.46;21.31
23;22.5;21.3
23;22.48;21.31
23;22.47;21.3
23;22.48;21.31
23;22.5;21.32
23;22.48;21.31
23;22.48;21.31
23;22.47;21.3
23;22.47;21.3
23;22.5;21.31
23;22.48;21.3
23;22.48;21.31
23;22.48;21.31
23;22.48;21.3
23;22.47;21.3
23;22.47;21.3
23;22.47;21.31
23;22.47;21.31
23;22.48;21.3
23;22.48;21.31
23;22.47;21.31
15;14.76;14.6
15;14.76;14.6
15;14.77;14.6
15;14.76;14.6
15;14.77;14.6
15;14.77;14.61
15;14.78;14.6
15;14.76;14.6
15;14.76;14.6
15;14.77;14.6
15;14.76;14.6
15;14.78;14.6
15;14.77;14.6
15;14.76;14.6
15;14.76;14.6
15;14.76;14.6
15;14.77;14.6
15;14.77;14.6
15;14.77;14.59
15;14.76;14.6
15;14.76;14.6
15;14.78;14.61
15;14.76;14.6
15;14.77;14.6
15;14.77;14.6
15;14.77;14.59
15;14.78;14.6
15;14.77;14.6
15;14.76;14.6
15;14.76;14.6
15;14.76;14.6
15;14.77;14.6
15;14.77;14.59
15;14.77;14.6
15;14.76;14.6
15;14.78;14.6
15;14.76;14.6
15;14.76;14.6
15;14.76;14.6
25;24.22;23.82
25;24.23;23.82
25;24.25;23.82
25;24.24;23.81
25;24.23;23.82
25;24.23;23.83
25;24.23;23.82
25;24.22;23.82
25;24.22;23.82
25;24.23;23.82
25;24.25;23.82
25;24.24;23.83
25;24.22;23.82
25;24.23;23.82
25;24.22;23.83
25;24.23;23.82
25;24.24;23.83
25;24.22;23.83
25;24.22;23.83
25;24.22;23.82
25;24.23;23.82
25;24.25;23.82
25;24.23;23.81
25;24.23;23.82
25;24.22;23.83
25;24.22;23.82
25;24.25;23.81
25;24.23;23.82
25;24.23;23.82
25;24.23;23.82
25;24.22;23.83
25;24.23;23.82
25;24.24;23.82
25;24.24;23.82
25;24.22;23.81
27;25.81;27.15
27;25.74;27.01
27;25.75;27.52
27;25.76;26.7
27;25.28;27.41
27;25.76;26.89
27;25.75;26.91
27;25.75;26.89
27;25.74;26.89
27;25.72;26.91
27;25.74;26.92
27;25.74;26.92
27;25.74;26.91
27;25.74;26.91
27;25.74;26.91
27;25.74;26.91
27;25.78;26.91
27;25.75;26.92
27;25.74;26.91
27;25.74;26.91
27;25.74;26.91
27;25.75;26.89
27;25.74;26.91
27;25.72;26.91
27;25.72;26.92
27;25.74;26.91
27;25.74;26.91
27;25.74;26.91
27;25.75;26.91
27;25.74;26.89
27;25.74;26.91
27;25.72;26.92
27;25.78;26.92
27;25.74;26.91
27;25.75;26.91
27;25.75;26.92
27;25.74;26.91
27;25.75;26.92
27;25.75;26.91
27;25.74;26.92
27;25.74;26.92
27;25.74;26.92
27;25.75;26.92
27;25.75;26.92
27;25.79;26.91
27;25.76;26.91
27;25.75;26.92
30;28.25;31.68
30;28.15;31.68
30;27.91;31.68
30;28.29;31.7
30;27.97;31.68
30;27.97;31.7
30;28.25;31.68
30;28.05;31.68
30;27.87;31.68
30;28.05;31.68
30;28.04;31.68
30;28.07;31.68
30;27.96;31.7
30;28.19;31.7
30;27.91;31.7
30;27.81;31.68
30;27.96;31.68
30;28.04;31.68
30;27.96;31.68
30;28.15;31.7
30;28.1;31.7
30;27.87;31.7
30;28.09;31.7
30;27.94;31.7
30;27.83;31.68
30;27.96;31.68
30;28;31.68
30;27.91;31.68
30;27.62;31.7
30;28.05;31.7
30;27.89;31.7
30;27.97;31.68
30;27.94;31.68
32;28.93;34.48
32;28.93;34.48
32;28.95;34.48
32;28.93;34.51
32;28.99;34.48
32;28.95;34.48
32;28.93;34.48
32;28.93;34.48
32;28.97;34.48
32;28.95;34.48
32;28.93;34.48
32;28.93;34.48
32;28.95;34.48
32;28.95;34.48
32;28.97;34.48
32;28.93;34.48
32;28.93;34.48
32;28.95;34.48
32;28.93;34.48
32;28.95;34.48
32;28.97;34.48
32;28.95;34.48
32;28.93;34.31
32;28.93;34.48
32;28.93;34.48
32;28.93;34.51
32;28.99;34.46
32;28.95;34.48
32;28.95;34.46
32;28.92;34.46
32;28.93;34.48
32;28.92;34.48
32;28.95;34.51
32;28.93;34.48
32;28.99;34.48
32;28.99;34.46
32;28.97;34.48
32;28.95;34.48
32;28.93;34.48
32;28.93;34.48
32;28.93;34.48
32;28.93;34.46
32;28.93;34.46
32;28.95;34.46
34;30.23;36.56
34;30.36;36.56
34;30.36;36.56
34;30.36;36.56
34;30.36;36.53
34;30.36;36.53
34;30.25;36.56
34;30.36;36.56
34;30.38;36.56
34;30.4;36.56
34;30.38;36.59
34;30.38;36.56
34;30.38;36.53
34;30.38;36.56
34;30.38;36.56
34;30.36;36.53
34;30.25;36.53
34;30.26;36.56
34;30.36;36.56
34;30.36;36.56
34;30.36;36.53
34;30.34;36.53
34;30.34;36.56
34;30.36;36.56
34;30.4;36.59
34;30.44;36.59
34;30.42;36.56
34;30.44;36.56
34;30.42;36.56
34;30.42;36.56
34;30.4;36.56
34;30.4;36.59
34;30.38;36.59
34;30.25;36.59
34;30.36;36.56
34;30.38;36.56
34;30.38;36.53
34;30.36;36.53
36;31.19;38.87
36;31.17;38.87
36;31.15;38.87
36;31.15;38.87
36;31.19;38.87
36;31.15;38.87
36;31.15;38.9
36;31.15;38.87
36;31.17;38.87
36;31.15;38.87
36;31.13;38.87
36;31.13;38.87
36;31.15;38.87
36;31.19;38.9
36;31.17;38.87
36;31.15;38.87
36;31.15;38.87
36;31.15;38.87
36;31.15;38.83
36;31.15;38.87
36;31.13;38.87
36;31.15;38.9
36;31.17;38.87
36;31.15;38.87
36;31.15;38.87
36;31.15;38.87
36;31.15;38.87
36;31.15;38.87
36;31.15;38.9
36;31.13;38.9
36;31.15;38.87
36;31.15;38.83
36;31.15;38.87
38;31.98;41.49
38;31.96;41.42
38;31.96;41.45
38;31.96;41.24
38;31.96;41.45
38;31.96;41.49
38;31.94;41.49
38;31.96;41.49
38;31.96;41.49
38;31.98;41.45
38;32;41.45
38;31.98;41.45
38;31.96;41.45
38;31.96;41.49
38;31.94;41.45
38;31.91;41.45
38;31.98;41.45
38;32;41.45
38;31.96;41.45
38;31.96;41.45
38;31.94;41.45
38;31.94;41.45
38;31.94;41.13
38;31.94;41.45
38;31.94;41.24
38;31.94;41.45
38;31.94;41.42
38;31.94;41.45
38;31.96;41.45
38;31.94;41.45
40;32.81;42.93
40;32.83;42.93
40;32.81;42.93
40;32.79;42.93
40;32.85;42.93
40;32.83;42.93
40;32.83;42.93
40;32.81;42.93
40;32.81;42.9
40;32.79;42.9
40;32.79;42.93
40;32.79;42.9
40;32.79;42.86
40;32.81;42.9
40;32.81;42.93
40;32.81;42.93
40;32.85;42.93
40;32.85;42.9
40;32.85;42.9
40;32.83;42.9
